cause,effect,F,df_num,df_den,p,q_bh,p_holm
CPI,Sadness,5.9053,2,350,0.003,0.0447,0.0601
Fear,Anger,5.4949,2,350,0.0045,0.0447,0.0849
CPI,Joy,3.6065,2,350,0.0282,0.1756,0.5069
Fear,Sadness,3.2838,2,350,0.0386,0.1756,0.6569
CPI,Fear,3.154,2,350,0.0439,0.1756,0.7024
Anger,Sadness,2.7019,2,350,0.0685,0.2283,1.0
Anger,Joy,2.2545,2,350,0.1065,0.2672,1.0
Joy,CPI,2.2036,2,350,0.1119,0.2672,1.0
CPI,Anger,2.1312,2,350,0.1202,0.2672,1.0
Sadness,CPI,1.558,2,350,0.212,0.424,1.0
Fear,CPI,1.3661,2,350,0.2565,0.4663,1.0
Sadness,Anger,1.1747,2,350,0.3101,0.5169,1.0
Fear,Joy,0.7921,2,350,0.4537,0.6664,1.0
Anger,CPI,0.7642,2,350,0.4665,0.6664,1.0
Joy,Anger,0.5925,2,350,0.5535,0.738,1.0
Joy,Fear,0.4564,2,350,0.6339,0.743,1.0
Sadness,Joy,0.3978,2,350,0.6721,0.743,1.0
Sadness,Fear,0.3632,2,350,0.6957,0.743,1.0
Joy,Sadness,0.3487,2,350,0.7058,0.743,1.0
Anger,Fear,0.1468,2,350,0.8635,0.8635,1.0
