cause,effect,F,df_num,df_den,p,q_bh,p_holm
Fear,Anger,2.5841,6,230,0.0192,0.2354,0.3849
Fear,Sadness,2.4281,6,230,0.027,0.2354,0.5128
Anger,Fear,2.3027,6,230,0.0353,0.2354,0.6356
Anger,Sadness,2.0109,6,230,0.0651,0.2949,1.0
Sadness,Fear,1.9171,6,230,0.0789,0.2949,1.0
Joy,Anger,1.7242,6,230,0.1162,0.2949,1.0
Fear,CPI,1.6944,6,230,0.1232,0.2949,1.0
Joy,Fear,1.6841,6,230,0.1257,0.2949,1.0
CPI,Fear,1.5693,6,230,0.157,0.2949,1.0
Sadness,Joy,1.5668,6,230,0.1577,0.2949,1.0
CPI,Sadness,1.5521,6,230,0.1622,0.2949,1.0
CPI,Joy,1.4754,6,230,0.1874,0.3124,1.0
Fear,Joy,1.3911,6,230,0.219,0.3369,1.0
Sadness,CPI,1.2882,6,230,0.2635,0.3764,1.0
Joy,Sadness,0.7925,6,230,0.5766,0.7539,1.0
Joy,CPI,0.7587,6,230,0.6031,0.7539,1.0
Sadness,Anger,0.6461,6,230,0.6932,0.8156,1.0
CPI,Anger,0.4638,6,230,0.8347,0.9132,1.0
Anger,Joy,0.4167,6,230,0.8676,0.9132,1.0
Anger,CPI,0.2673,6,230,0.9517,0.9517,1.0
