lag,AIC,BIC,HQIC,FPE
0,-45.44041133507044,-45.285912127501355,-45.378721498011046,1.8428226164699534e-20
1,-45.71921519348969,-44.792219948075164,-45.34907617113332,1.3968223638743997e-20
2,-46.222550449165816,-44.523059165905856,-45.543962241512475,8.519783259668941e-21
3,-46.37087606516486,-43.89888874405946,-45.383838672214544,7.513398305080868e-21
4,-46.58447438553721,-43.339991026586375,-45.28898780728993,6.3384438694013594e-21
5,-46.715503898303126,-42.69852450150686,-45.11156813475887,5.981177659247566e-21
6,-46.93545868321423,-42.14598324857252,-45.023073734373,5.374912190861778e-21
7,-46.76845235972772,-41.20648088724057,-44.54761822558951,7.505809863027246e-21
8,-46.90976982913092,-40.57530231879834,-44.38048650969575,8.281290299491819e-21
